id,title,year
15724,"Dama de noche",1993
23331,"Pesn o geroyakh",1983
31458,"El huésped del sevillano",1970
35423,"Kate & Leopold",2001
36606,"Another Time, Another Place",1983
39442,"Habla, mudita",1973
54724,"I Eat Your Skin",1971
56166,"Lash of Lust",1972
57461,"La rosa de los vientos",1983
58950,"Auliban, the Seller of Rings",1973
58994,"Bruce's Fingers",1976
59680,"Satan's Harvest",1970
59900,"Wenn du groß bist, lieber Adam",1990
60144,"Aventura en las islas Cíes",1972
60462,"The Girls from Thunder Strip",1970
60477,"Gregorio and His Angel",1970
60526,"Huyendo del halcón",1973
60551,"Itt járt Mátyás király",1973
60939,"Santo contra los cazadores de cabezas",1971
60951,"A Scream in the Streets",1973
60967,"Una señora estupenda",1970
61069,"Taro the Dragon Boy",1979
61151,"The Lost Angel",1971
61478,"Chun huo",1970
61494,"Cauldron of Blood",1970
61592,"Doomsday Machine",1972
61902,"The Life of Mozart",1970
62104,Fornicon,1971
62105,"Der Paukenspieler",1971
62181,"Rece do góry",1981
62342,"Tarzan and the Perils of Charity Jones",1971
62359,"The Bull Buster",1973
62690,"Awakening of the Beast",1970
62696,"Bakuchi-uchi: Nagaremono",1970
62701,"Balsamus l'uomo di Satana",1970
62730,"The Big Snatch",1971
62784,"El certificado",1970
62847,"Daddy, Darling",1970
62896,"Divorcio a la andaluza",1975
62936,"Enter the Game of Death",1978
62980,"Fleshpot on 42nd Street",1973
63018,"Iron Dragon Strikes Back",1979
63066,"Hibotan bakuto: Oryû sanjô",1970
63070,"Story of a Girl Alone",1971
63074,"Hola... señor Dios",1970
63132,"Alien Terror",1971
63137,"The Invincible Six",1970
63142,"Isle of the Snake People",1971
63244,"Love Toy",1971
63309,"Misión cumplida",1970
63334,"Nahtche V'Hageneral",1972
63337,"Al-nass wal Nil",1972
63353,"Nihon jokyo-den: tekka geisha",1970
63498,"Remolino de pasiones",1970
63499,"Ramparts of Clay",1970
63550,"Satanis: The Devil's Mass",1970
63552,"Savage Intruder",1970
63604,"Shiruku hatto no ô-oyabun",1970
63608,"Sinthia: The Devil's Doll",1970
63666,"Love, Emilia",1970
63696,"Tiger by the Tail",1970
63751,"The Howl",1970
63846,"Zorro, Rider of Vengeance",1971
63860,"The Last Day of the War",1970
63982,"El abominable hombre de la Costa del Sol",1970
63987,"Living on Credit",1972
64004,"All the Right Noises",1971
64007,"El alma se serena",1970
64021,"Love Is Gay, Love Is Sad",1971
64031,"Don Franco e Don Ciccio nell'anno della contestazione",1970
64038,"The Land",1970
64065,"La banda de los tres crisantemos",1970
64076,"Before the Mountain Was Moved",1970
64078,"Les belles au bois dormantes",1970
64083,"Der Bettenstudent oder Was mach' ich mit den Mädchen?",1970
64105,"The Ancines Woods",1970
64106,"Le Boucher",1970
64111,"Bronco Bullfrog",1970
64121,Comrades,1970
64126,"French Intrigue",1970
64140,"Cateto a babor",1970
64143,"Siege of Terror",1972
64144,"The Circle",1970
64150,"La sfida dei MacKenna",1970
64165,"The Things of Life",1970
64170,"Her and She and Him",1970
64171,"The Bullet Machine",1970
64177,"Colossus: The Forbin Project",1970
64182,"Rimal min dhahab",1971
64183,"Con ella llegó el amor",1970
64188,Crescendo,1970
64190,"Cristo 70",1970
64191,"El cronicón",1970
64195,"Cuatro desertores",1970
64197,"Cuori solitari",1970
64204,"Cómo casarse en 7 días",1971
64225,"Last Known Address",1970
64250,"Dornwittchen und Schneeröschen",1970
64261,"Dreams of Glass",1970
64270,"Dele color al difunto",1970
64273,"And God Said to Cain",1970
64279,"A Crazy Night",1970
64283,"An Elephant Called Slowly",1970
64285,"The Wild Child",1970
64294,"La horse",1970
64321,"The Female Bunch",1971
64341,"Fortunata and Jacinta",1970
64343,"Four Rode Out",1970
64359,"The Gamblers",1970
64362,"Las gatas tienen frío",1970
64372,"Black Jack",1972
64377,"Golpe de mano (Explosión)",1970
64385,"Shine, Shine, My Star",1970
64386,"The Fifth Day of Peace",1970
64388,"El gran crucero",1970
64411,"Heintje - Einmal wird die Sonne wieder scheinen",1970
64413,"Helena y Fernanda",1970
64420,"The Inheritors",1970
64423,"Happy He Who Like Ulysses",1970
64430,"Hildur and the Magician",1971
64432,"How to Play the Seduction Game",1970
64437,"The Honeymoon Killers",1970
64450,"How to Succeed with Sex",1970
64451,"A Touch of Zen",1971
64465,Ice,1970
64484,"The Indiscreet One",1970
64494,Eugenie,1970
64510,Jenny,1970
64522,"Mr. and Mrs. Juan Lamaglia",1970
64535,"The Kashmiri Run",1970
64546,Witchhammer,1970
64549,"Komm nach Wien, ich zeig dir was!",1970
64553,"King Lear",1970
64554,"King of the Reindeer",1970
64574,"The Last of the Mobile Hot Shots",1970
64582,"Der Leone Have Sept Cabeças",1970
64586,"Juan Pedro the Scyther",1970
64592,"Lisa dagli occhi blu",1970
64593,"The Virgin's Bed",1970
64594,"Little Jungle Boy",1971
64598,"London Affair",1970
64604,"Love Me... Please!",1972
64607,"Love Is a Splendid Illusion",1970
64614,"Rose Spot",1970
64624,"Maid in Sweden",1971
64625,Maidstone,1970
64628,"Mama vyshla zamuzh",1970
64633,"Awkward Hands",1970
64649,"The McMasters",1970
64656,"El mejor del mundo",1970
64659,"El mesón del gitano",1970
64687,"Assignment Terror",1970
64702,"Moy papa - kapitan",1970
64704,Girly,1970
64706,"My Girlfriend's Wedding",1973
64711,"Männer sind zum Lieben da",1970
64712,"The Moderate Doctor",1971
64727,"The Bloody Judge",1970
64741,"Nu xia mai ren tou",1970
64742,"Los nuestros",1970
64746,"OSS 117 prend des vacances",1970
64751,"Odvázná slecna",1970
64753,"Sweet Kisses and Languid Caresses",1970
64761,"One Brief Summer",1971
64768,"Ore di terrore",1971
64772,"The Sensual Male",1970
64773,"Other Voices",1970
64774,"Eyes Do Not Want to Close at All Times, or, Perhaps One Day Rome Will Allow Herself to Choose in Her Turn",1970
64779,"The Bear and the Doll",1970
64781,"Fruit of Paradise",1970
64787,"A Quiet Place to Kill",1970
64788,"Paraíso",1970
64791,"Rider on the Rain",1970
64796,"Only the Cool",1970
64803,"Pesn o Manshuk",1974
64804,"Le petit bougnat",1970
64805,"The People and Their Guns",1970
64806,"The Phantom Tollbooth",1970
64820,"The Plot Against Harry",1989
64821,"On the Trail of Blood",1970
64822,"El pocho",1970
64831,"Posledniye kanikuly",1970
64832,"Posol Sovetskogo Soyuza",1970
64836,Prana,1970
64839,"Crime and Punishment",1970
64843,"Case for a Rookie Hangman",1970
64847,Prologue,1970
64848,"A Promise of Bed",1970
64849,"La provocation",1970
64858,"Pyat dney otdykha",1970
64863,"Quelé do Pajeú",1970
64864,"El quelite",1970
64881,"The Reckoning",1970
64887,Resende,1970
64900,"Robinson Crusoe",1970
64902,"The Blood Rose",1970
64904,"Hatchet for the Honeymoon",1970
64905,"Rote Sonne",1970
64930,"Santo vs. Blue Demon in Atlantis",1970
64931,"The Knight of the Sword",1970
64932,"Santo and Blue Demon Against the Monsters",1970
64933,"Land of the Dead",1970
64945,"Schwarzer Nerz auf zarter Haut",1970
64949,"Scream and Scream Again",1970
64953,"Secret Intentions",1970
64956,"Segundo Festival de Mortadelo y Filemón, agencia de información",1970
64963,"The Set",1970
64964,Overrun!,1970
64967,"Sex-Business - Made in Pasing",1970
64980,"Siempre hay una primera vez",1971
64994,"Larks on a String",1990
65005,"Oso yparhei erotas",1970
65012,"Some Will, Some Won't",1970
65013,"Some Won't Go",1970
65034,"Staryy dom",1970
65039,"Una storia d'amore",1970
65040,"Strange Holiday",1970
65050,"The Super Fight",1970
65073,"Taste the Blood of Dracula",1970
65080,"The Heist",1970
65084,"The Witnesses",1971
65117,Adrift,1971
65127,Tchaikovsky,1970
65128,"Belated Flowers",1970
65134,"Two Mules for Sister Sara",1970
65139,"Történelmi magánügyek",1970
65140,"U ozera",1970
65143,"The Bird with the Crystal Plumage",1970
65147,"Un, dos, tres... al escondite inglés",1970
65161,"La vacanza",1971
65162,"Vacío en el alma",1971
65167,"Vamos por la parejita",1971
65168,"The Nude Vampire",1970
65171,"La venganza de las mujeres vampiro",1970
65173,"Le Vent d'Est",1970
65174,"Verano 70",1970
65188,"Vojtech, receny sirotek",1990
65189,"Von Haut zu Haut",1971
65192,"The Voyeur",1970
65210,Whirlpool,1970
65213,"Wilbur and the Baby Factory",1970
65221,"Wolfshead: The Legend of Robin Hood",1976
65222,"Women and Bloody Terror",1970
65227,"Sex Freedom in Germany",1970
65235,"I Killed Einstein, Gentlemen",1970
65248,"Zorro the Invincible",1971
65251,"¡¡Se armó el belén!!",1970
65253,"¿Es usted mi padre?",1971
65254,"Por qué pecamos a los cuarenta",1970
65256,"¿Quién soy yo?",1970
65259,"El águila descalza",1971
65265,"The Stud",1970
65331,"You Are a Widow, Sir!",1971
65359,"M comme Mathieu",1973
65360,"...tick... tick... tick...",1970
65363,"The Daughter: I, a Woman Part III",1970
65365,"Abarten der körperlichen Liebe",1970
65366,"Abel, Your Brother",1970
65367,"Dig Your Grave Friend... Sabata's Coming",1971
65370,"Act of the Heart",1970
65371,"Adam at Six A.M.",1970
65372,"Adam's Woman",1970
65373,"20,000 dólares por un cadáver",1971
65374,"The Adventurers",1970
65375,"The Adventures of Gerard",1970
65376,"Mr. Gullible",1970
65377,Airport,1970
65378,"May Morning",1970
65379,"Album polski",1970
65380,"Alex in Wonderland",1970
65384,"All the Way Up",1970
65385,"The Wedding Ring",1970
65388,"Am Ama am Amazonas",1970
65390,"The Amazing Transplant",1970
65391,"The American Soldier",1970
65392,"Bucharest Memories",1970
65393,"The Friends",1971
65394,"L'amore coniugale",1970
65395,"Amore formula 2",1970
65396,Reconstruction,1970
65398,"And Soon the Darkness",1970
65400,"The Angel Levine",1970
65401,"Angel Unchained",1970
65402,"Angelica: The Young Vixen",1974
65405,"Angels Die Hard",1970
65406,"Million Dollar Eel",1971
65407,"The Animals",1970
65408,"The Anonymous Venetian",1970
65410,Aoom,1970
65411,"Apa ca un bivol negru",1970
65412,"An Apple a Day",1970
65413,"The Night of the Assassin",1970
